"Product ID","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]","Tool wear [min]","Failure Type"
"L47249","298.9","309.0","1410","65.7","191","Power Failure"
"M14930","298.9","309.0","1924","22.6","193","No Failure"
"L47251","298.9","309.1","1452","45.5","196","No Failure"
"L47252","298.9","309.1","1369","44.4","198","No Failure"
"L47253","299.0","309.1","1592","35.0","200","No Failure"
"L47254","298.9","309.0","1601","32.3","202","No Failure"
"L47255","298.8","308.9","1379","46.7","204","No Failure"
"L47256","298.8","308.9","1461","47.9","206","No Failure"
"L47257","298.8","308.9","1455","41.3","208","Tool Wear Failure"
"L47258","298.8","308.9","1398","51.5","0","No Failure"
"L47259","298.8","308.9","1402","37.9","2","No Failure"
"H29494","298.8","308.8","1445","49.9","4","No Failure"
"L47261","298.9","308.9","1450","47.5","9","No Failure"
"L47262","298.9","308.9","1453","40.8","11","No Failure"
"L47263","299.0","309.0","1469","40.1","13","No Failure"
"L47264","298.9","308.9","1422","47.6","15","No Failure"
"M14945","299.0","309.0","1804","26.8","17","No Failure"
"H29500","299.0","309.0","1436","43.9","20","No Failure"
"L47267","299.0","309.0","1544","31.8","25","No Failure"
"M14948","299.0","309.0","1419","45.2","27","No Failure"
"M14949","298.9","308.9","1487","39.5","30","No Failure"
"L47270","298.9","308.9","1753","25.8","33","No Failure"
"L47271","298.9","308.9","1830","24.9","35","No Failure"
"M14952","298.9","308.9","1727","27.1","37","No Failure"
"L47273","299.1","309.0","1450","43.0","40","No Failure"
"L47274","299.0","308.9","1622","31.9","42","No Failure"
"M14955","299.0","309.0","1351","52.2","44","No Failure"
"M14956","299.0","309.0","1575","35.3","47","No Failure"
"M14957","298.9","308.9","1750","29.9","50","No Failure"
"L47278","298.9","308.8","1529","32.7","53","No Failure"
"L47279","298.8","308.8","1523","44.4","55","No Failure"
"L47280","298.8","308.9","1852","25.0","57","No Failure"
"L47281","298.8","308.8","1991","20.7","59","No Failure"
"L47282","298.8","308.8","1555","40.6","61","No Failure"
"M14963","298.8","308.8","1441","40.5","63","No Failure"
"L47284","298.8","308.7","1450","43.4","66","No Failure"
"L47285","298.8","308.7","1591","31.1","68","No Failure"
"L47286","298.8","308.7","1445","48.5","70","No Failure"
"M14967","298.8","308.8","1497","46.8","72","No Failure"
"H29522","298.9","308.8","1621","32.7","75","No Failure"
"L47289","298.9","308.7","1572","34.1","80","No Failure"
"L47290","298.8","308.6","1872","22.5","82","No Failure"
"H29525","298.7","308.6","1499","43.5","84","No Failure"
"M14972","298.8","308.7","1498","39.5","89","No Failure"
"M14973","298.8","308.6","1486","41.9","92","No Failure"
"L47294","298.8","308.6","1680","29.4","95","No Failure"
"L47295","298.8","308.6","1431","45.7","97","No Failure"
"L47296","298.9","308.7","1564","34.1","99","No Failure"
"L47297","298.8","308.6","1599","33.0","101","No Failure"
"M14978","298.8","308.6","1707","28.1","103","No Failure"
"L47299","298.7","308.5","1467","40.7","106","No Failure"
"L47300","298.9","308.7","1433","44.7","108","No Failure"
"L47301","298.9","308.7","1558","41.2","110","No Failure"
"L47302","299.0","308.8","1310","50.7","112","No Failure"
"L47303","298.9","308.7","1546","43.4","114","No Failure"
"L47304","298.9","308.7","1727","29.4","116","No Failure"
"L47305","298.9","308.6","1560","32.2","118","No Failure"
"L47306","299.0","308.6","1329","60.5","120","No Failure"
"L47307","298.9","308.6","1413","46.5","122","No Failure"
"L47308","299.0","308.6","1587","38.6","124","No Failure"
"L47309","298.9","308.5","1559","34.3","126","No Failure"
"L47310","298.8","308.4","1473","41.1","128","No Failure"
"L47311","298.8","308.4","1737","27.7","130","No Failure"
"M14992","298.7","308.4","1441","43.2","132","No Failure"
"M14993","298.7","308.4","1430","49.6","135","No Failure"
"L47314","298.8","308.4","1369","53.0","138","No Failure"
"M14995","298.8","308.5","1711","28.5","140","No Failure"
"H29550","298.7","308.5","1420","45.7","143","No Failure"
"L47317","298.7","308.6","1297","55.3","148","No Failure"
"H29552","298.8","308.6","1449","49.4","150","No Failure"
"L47319","298.8","308.6","1268","55.8","155","No Failure"
"L47320","298.8","308.6","1511","36.1","157","No Failure"
"L47321","298.7","308.5","1544","35.2","159","No Failure"
"M15002","298.6","308.4","1778","28.2","161","No Failure"
"H29557","298.6","308.4","1407","50.5","164","No Failure"
"M15004","298.6","308.4","1391","42.4","169","No Failure"
"L47325","298.5","308.4","1513","33.6","172","No Failure"
"H29560","298.5","308.4","1612","36.1","174","No Failure"
"L47327","298.4","308.4","1515","40.1","179","No Failure"
"M15008","298.3","308.3","1379","48.0","181","No Failure"
"L47329","298.4","308.3","1473","39.9","184","No Failure"
"L47330","298.4","308.3","1422","42.7","186","No Failure"
"M15011","298.4","308.2","1463","37.6","188","No Failure"
"M15012","298.4","308.2","1584","41.0","191","No Failure"
"L47333","298.4","308.2","1850","27.0","194","No Failure"
"L47334","298.4","308.2","1528","36.2","196","No Failure"
"H29569","298.4","308.2","1987","19.8","198","No Failure"
"M15016","298.4","308.1","1495","46.0","203","No Failure"
"H29571","298.4","308.2","1478","43.5","206","No Failure"
"M15018","298.4","308.2","1499","40.0","211","No Failure"
"L47339","298.4","308.2","1471","47.0","214","No Failure"
"L47340","298.4","308.2","1282","60.7","216","Overstrain Failure"
"L47341","298.3","308.1","1412","52.3","218","Overstrain Failure"
"L47342","298.3","308.1","1586","35.5","0","No Failure"
"M15023","298.4","308.2","1468","43.8","2","No Failure"
"M15024","298.5","308.3","1440","43.6","5","No Failure"
"L47345","298.5","308.4","1733","26.0","8","No Failure"
"H29580","298.4","308.2","1612","32.6","10","No Failure"
"H29581","298.4","308.3","1458","42.9","15","No Failure"
"L47348","298.4","308.3","1433","62.3","20","Power Failure"
"L47349","298.4","308.3","1318","59.1","22","No Failure"
"M15030","298.4","308.2","1610","35.0","24","No Failure"
"L47351","298.2","308.1","1462","50.8","27","No Failure"
"M15032","298.1","308.0","1924","20.8","29","No Failure"
"M15033","298.2","308.0","1591","33.7","32","No Failure"
"L47354","298.2","308.1","1306","58.3","35","No Failure"
"L47355","298.2","308.1","1382","43.5","37","No Failure"
"L47356","298.2","308.1","1618","34.7","39","No Failure"
"L47357","298.2","308.2","1988","21.4","41","No Failure"
"L47358","298.2","308.2","1436","50.2","43","No Failure"
"L47359","298.2","308.3","1304","49.8","45","No Failure"
"L47360","298.2","308.3","1475","49.9","47","No Failure"
"H29595","298.2","308.3","1824","24.2","49","No Failure"
"M15042","298.1","308.2","1342","48.1","54","No Failure"
"L47363","298.1","308.2","1485","40.7","57","No Failure"
"L47364","298.2","308.2","1667","30.6","59","No Failure"
"L47365","298.2","308.2","1446","38.2","61","No Failure"
"L47366","298.1","308.3","1301","56.0","63","No Failure"
"L47367","298.2","308.4","1379","43.1","65","No Failure"
"L47368","298.3","308.5","1606","33.6","67","No Failure"
"M15049","298.3","308.4","1539","43.4","69","No Failure"
"L47370","298.2","308.4","1477","49.9","72","No Failure"
"L47371","298.2","308.4","1666","34.6","74","No Failure"
"H29606","298.2","308.4","1398","51.8","76","No Failure"
"H29607","298.2","308.4","1678","34.6","81","No Failure"
"M15054","298.2","308.5","2678","10.7","86","Power Failure"
"L47375","298.3","308.5","1453","42.9","89","No Failure"
"H29610","298.3","308.6","1432","49.5","91","No Failure"
"M15057","298.4","308.6","1527","40.9","96","No Failure"
"L47378","298.4","308.7","1588","35.0","99","No Failure"
"L47379","298.4","308.6","1433","47.1","101","No Failure"
"L47380","298.4","308.6","1609","35.0","103","No Failure"
"L47381","298.3","308.5","1575","41.2","105","No Failure"
"M15062","298.4","308.5","1636","35.7","107","No Failure"
"L47383","298.4","308.5","1490","37.9","110","No Failure"
"L47384","298.4","308.5","1741","32.8","112","No Failure"
"M15065","298.5","308.6","1344","53.0","114","No Failure"
"L47386","298.5","308.7","1609","35.3","117","No Failure"
"M15067","298.4","308.7","1421","60.7","119","Power Failure"
"L47388","298.4","308.6","1591","36.7","122","No Failure"
"L47389","298.4","308.6","1477","44.0","124","No Failure"
"L47390","298.4","308.7","1523","36.1","126","No Failure"
"L47391","298.5","308.7","1575","33.9","128","No Failure"
"H29626","298.4","308.7","1344","52.9","130","No Failure"
"L47393","298.4","308.7","1386","44.9","135","No Failure"
"M15074","298.3","308.6","1589","37.1","137","No Failure"
"L47395","298.3","308.6","1548","40.3","140","No Failure"
"L47396","298.3","308.6","1499","38.3","142","No Failure"
"L47397","298.3","308.5","1664","31.6","144","No Failure"
"L47398","298.3","308.6","1447","38.1","146","No Failure"
"M15079","298.3","308.5","1434","46.2","148","No Failure"
"L47400","298.3","308.5","1416","52.7","151","No Failure"
"H29635","298.4","308.5","1827","24.3","153","No Failure"
"L47402","298.4","308.6","1304","45.0","158","No Failure"
"L47403","298.4","308.6","1569","34.4","160","No Failure"
"L47404","298.3","308.6","1584","29.3","162","No Failure"
"L47405","298.3","308.5","1362","53.8","164","No Failure"
"L47406","298.3","308.4","1329","49.2","166","No Failure"
"L47407","298.3","308.5","1539","36.1","168","No Failure"
"M15088","298.3","308.5","1629","37.1","170","No Failure"
"L47409","298.3","308.5","1538","32.2","173","No Failure"
"L47410","298.3","308.6","1570","34.8","175","No Failure"
"L47411","298.3","308.4","1408","43.1","177","No Failure"
"L47412","298.2","308.4","1424","47.6","179","No Failure"
"L47413","298.2","308.4","1512","34.9","181","No Failure"
"L47414","298.2","308.4","1478","42.9","183","No Failure"
"M15095","298.1","308.3","1680","33.7","185","No Failure"
"L47416","298.1","308.3","1495","38.7","188","No Failure"
"M15097","298.0","308.1","1552","36.6","190","No Failure"
"L47418","297.9","308.1","1393","50.3","193","No Failure"
"L47419","298.0","308.2","1611","30.6","195","No Failure"
"M15100","298.0","308.1","1339","51.6","197","No Failure"
"L47421","298.0","308.1","1777","24.3","200","No Failure"
"L47422","298.0","308.2","1348","58.8","202","Overstrain Failure"
"L47423","298.0","308.2","1442","44.1","204","No Failure"
"M15104","298.0","308.2","1395","49.1","206","No Failure"
"M15105","297.9","308.1","1627","31.4","209","No Failure"
"L47426","297.9","308.1","1585","33.5","212","No Failure"
"L47427","298.0","308.2","1469","45.5","214","No Failure"
"L47428","298.0","308.3","1362","56.8","216","Overstrain Failure"
"L47429","298.0","308.3","1405","56.2","218","Overstrain Failure"
"L47430","298.0","308.3","1662","32.7","0","No Failure"
"M15111","298.0","308.2","1466","42.6","2","No Failure"
"L47432","298.0","308.2","1620","35.8","5","No Failure"
"L47433","298.0","308.2","1357","48.2","7","No Failure"
"L47434","298.0","308.2","1514","37.9","9","No Failure"
"L47435","298.0","308.2","1489","40.4","11","No Failure"
"L47436","298.1","308.3","1331","63.0","13","No Failure"
"L47437","298.0","308.0","1615","29.5","15","No Failure"
"L47438","298.1","308.2","1482","37.9","17","No Failure"
"M15119","298.1","308.2","1420","63.9","19","Power Failure"
"M15120","298.2","308.3","1522","49.1","22","No Failure"
"L47441","298.1","308.2","1654","32.1","25","No Failure"
"M15122","298.1","308.2","1736","26.8","27","No Failure"
"M15123","298.0","308.1","1587","32.3","30","No Failure"
"L47444","298.1","308.2","1390","47.5","33","No Failure"
"L47445","298.0","308.1","1454","37.1","35","No Failure"
"H29680","298.0","308.1","1440","43.7","37","No Failure"
"L47447","297.9","308.0","1954","21.1","42","No Failure"
"H29682","297.9","308.0","1800","24.8","44","No Failure"
"L47449","298.0","308.0","1524","37.0","49","No Failure"
"H29684","298.0","308.0","1520","39.6","51","No Failure"
"M15131","298.1","308.1","1452","40.8","56","No Failure"
"L47452","298.1","308.1","1484","40.4","59","No Failure"
"L47453","298.1","308.0","1426","46.0","61","No Failure"
"L47454","298.1","308.0","1652","28.5","63","No Failure"
"L47455","298.0","308.0","1401","54.7","65","No Failure"
"M15136","298.0","307.9","1750","26.6","67","No Failure"
"H29691","298.0","308.0","1479","50.7","70","No Failure"
"M15138","298.0","308.0","1620","29.4","75","No Failure"
"L47459","298.0","308.1","1819","23.4","78","No Failure"
"M15140","298.1","308.1","1456","43.7","80","No Failure"
"L47461","298.1","308.0","1626","36.5","83","No Failure"
"M15142","298.1","308.1","1390","49.8","85","No Failure"
"L47463","298.2","308.2","1469","43.0","88","No Failure"
"L47464","298.2","308.3","2051","19.2","90","No Failure"
"L47465","298.2","308.3","1568","36.0","92","No Failure"
"L47466","298.2","308.3","1589","33.2","94","No Failure"
"L47467","298.2","308.3","1805","31.6","96","No Failure"
"H29702","298.2","308.4","1385","42.2","98","No Failure"
"L47469","298.1","308.4","1436","46.7","103","No Failure"
"L47470","298.1","308.4","1438","45.6","105","No Failure"
"L47471","298.0","308.3","1473","42.6","107","No Failure"
"L47472","298.1","308.4","1335","40.2","109","No Failure"
"H29707","298.1","308.5","1392","44.8","111","No Failure"
"M15154","298.1","308.5","1372","51.1","116","No Failure"
"M15155","298.1","308.6","1716","30.7","119","No Failure"
"L47476","298.0","308.5","1395","46.2","122","No Failure"
"L47477","298.0","308.5","1713","25.3","124","No Failure"
"H29712","297.9","308.5","2129","18.7","126","No Failure"
"M15159","297.8","308.3","1567","35.6","131","No Failure"
"L47480","297.8","308.4","1622","38.3","134","No Failure"
"L47481","297.7","308.4","1740","27.1","136","No Failure"
"H29716","297.8","308.4","1512","35.1","138","No Failure"
"M15163","297.8","308.4","1479","43.5","143","No Failure"
"L47484","297.8","308.4","1737","27.5","146","No Failure"
"L47485","297.8","308.4","2129","19.2","148","No Failure"
"L47486","297.8","308.4","1374","47.1","150","No Failure"
"M15167","297.8","308.4","1579","36.6","152","No Failure"
"L47488","297.9","308.5","1305","47.2","155","No Failure"
"M15169","297.9","308.5","1449","40.8","157","No Failure"
"H29724","298.0","308.6","1526","41.8","160","No Failure"
"M15171","298.0","308.6","1453","44.1","165","No Failure"
"L47492","297.9","308.6","1468","36.0","168","No Failure"
"L47493","298.0","308.6","1313","50.8","170","No Failure"
"M15174","297.9","308.5","1300","53.0","172","No Failure"
"L47495","297.9","308.4","1646","40.6","175","No Failure"
"L47496","297.8","308.4","1714","33.2","177","No Failure"
"L47497","297.8","308.4","1685","28.4","179","No Failure"
"L47498","297.8","308.4","1512","39.9","181","No Failure"
"L47499","297.8","308.4","1612","32.1","183","No Failure"
"H29734","297.8","308.4","1550","38.2","185","No Failure"
"L47501","297.8","308.4","1518","32.5","190","No Failure"
"L47502","297.8","308.5","1448","40.0","192","No Failure"
"L47503","297.8","308.5","1561","46.3","194","No Failure"
"M15184","297.8","308.5","1488","41.9","196","No Failure"
"L47505","297.8","308.5","1699","27.8","199","No Failure"
"L47506","297.7","308.5","1501","41.4","201","No Failure"
"L47507","297.7","308.5","1373","56.7","203","Overstrain Failure"
"H29742","297.6","308.4","1703","31.4","205","No Failure"
"H29743","297.7","308.5","1720","29.9","210","No Failure"
"M15190","297.6","308.4","1398","41.9","215","No Failure"
"M15191","297.6","308.4","1391","51.9","218","No Failure"
"M15192","297.6","308.3","1538","40.2","0","No Failure"
"L47513","297.5","308.2","1647","31.3","3","No Failure"
"M15194","297.5","308.1","1469","44.8","5","No Failure"
"L47515","297.4","308.1","1749","25.9","8","No Failure"
"M15196","297.6","308.2","1995","20.5","10","No Failure"
"L47517","297.6","308.3","1742","27.7","13","No Failure"
"L47518","297.5","308.2","1563","38.2","15","No Failure"
"M15199","297.5","308.2","1713","32.2","17","No Failure"
"L47520","297.4","308.1","1474","39.4","20","No Failure"
"M15201","297.4","308.2","1530","32.6","22","No Failure"
"L47522","297.4","308.2","1471","46.5","25","No Failure"
"L47523","297.5","308.3","1388","48.6","27","No Failure"
"M15204","297.5","308.2","2448","13.8","29","No Failure"
"L47525","297.5","308.3","1585","32.9","32","No Failure"
"M15206","297.5","308.3","1459","45.2","34","No Failure"
"L47527","297.5","308.3","1544","40.8","37","No Failure"
"L47528","297.6","308.3","1617","31.7","39","No Failure"
"L47529","297.6","308.3","1595","34.3","41","No Failure"
"H29764","297.6","308.3","1400","44.3","43","No Failure"
"M15211","297.6","308.4","1611","31.0","48","No Failure"
"M15212","297.6","308.4","1507","46.0","51","No Failure"
"H29767","297.5","308.3","1674","30.0","54","No Failure"
"L47534","297.6","308.3","1658","34.3","59","No Failure"
"L47535","297.6","308.3","1623","36.9","61","No Failure"
"M15216","297.6","308.4","1398","48.9","63","No Failure"
"L47537","297.6","308.4","1517","34.2","66","No Failure"
"M15218","297.6","308.3","1467","36.7","68","No Failure"
"M15219","297.6","308.3","1567","34.6","71","No Failure"
"M15220","297.5","308.3","1521","38.2","74","No Failure"
"L47541","297.5","308.3","1596","36.8","77","No Failure"
"H29776","297.6","308.3","1640","30.9","79","No Failure"
"L47543","297.6","308.3","1438","47.8","84","No Failure"
"L47544","297.6","308.4","1407","55.2","86","No Failure"
"L47545","297.6","308.4","1353","57.5","88","No Failure"
"M15226","297.6","308.5","1552","40.9","90","No Failure"
"M15227","297.6","308.4","1569","38.3","93","No Failure"
"L47548","297.5","308.4","1489","39.5","96","No Failure"
"H29783","297.5","308.4","1587","36.1","98","No Failure"
"M15230","297.5","308.3","1622","37.2","103","No Failure"
"L47551","297.5","308.4","1604","38.1","106","No Failure"
"M15232","297.4","308.3","1405","51.7","108","No Failure"
"L47553","297.4","308.3","1412","42.0","111","No Failure"
"L47554","297.4","308.3","1431","43.0","113","No Failure"
"L47555","297.4","308.2","1533","37.4","115","No Failure"
"M15236","297.4","308.2","1401","51.9","117","No Failure"
"M15237","297.4","308.2","1424","53.9","120","No Failure"
"L47558","297.3","308.2","1754","29.4","123","No Failure"
"L47559","297.3","308.2","1754","26.8","125","No Failure"
"L47560","297.5","308.3","2564","12.8","127","Power Failure"
"L47561","297.5","308.5","1546","40.4","129","No Failure"
"L47562","297.5","308.5","1335","48.0","131","No Failure"
"M15243","297.5","308.6","1842","27.0","133","No Failure"
"L47564","297.5","308.5","1712","26.8","136","No Failure"
"M15245","297.6","308.6","1414","45.4","138","No Failure"
"L47566","297.6","308.7","1319","50.9","141","No Failure"
"L47567","297.7","308.7","1249","60.4","143","No Failure"
"L47568","297.6","308.7","1455","48.2","145","No Failure"
"M15249","297.6","308.7","1408","54.8","147","No Failure"
"L47570","297.6","308.7","1460","46.7","150","No Failure"
"L47571","297.6","308.6","1491","38.1","152","No Failure"
"M15252","297.6","308.5","1490","43.4","154","No Failure"
"M15253","297.5","308.4","1350","52.2","157","No Failure"
"L47574","297.5","308.4","1528","39.9","160","No Failure"
"L47575","297.4","308.3","1571","37.7","162","No Failure"
"L47576","297.4","308.3","1490","42.6","164","No Failure"
"M15257","297.4","308.3","1774","28.9","166","No Failure"
"H29812","297.4","308.3","1502","43.6","169","No Failure"
"L47579","297.4","308.4","1392","49.7","174","No Failure"
"L47580","297.4","308.5","2100","16.9","176","No Failure"
"L47581","297.5","308.5","1722","30.4","178","No Failure"
"L47582","297.4","308.6","1678","32.3","180","No Failure"
"L47583","297.3","308.6","1273","59.8","182","No Failure"
"L47584","297.3","308.6","1297","45.9","184","No Failure"
"L47585","297.3","308.5","1350","57.6","186","No Failure"
"L47586","297.4","308.6","1439","51.9","188","No Failure"
"M15267","297.4","308.5","1600","42.1","190","No Failure"
"M15268","297.4","308.6","1434","44.4","193","No Failure"
"L47589","297.4","308.6","1459","41.3","196","No Failure"
"M15270","297.5","308.6","1472","44.9","198","No Failure"
"L47591","297.5","308.7","1429","44.3","201","No Failure"
"L47592","297.5","308.6","1388","48.2","203","No Failure"
"L47593","297.4","308.4","1573","34.5","205","No Failure"
"L47594","297.4","308.4","1588","32.5","207","No Failure"
"L47595","297.5","308.4","1511","42.8","209","No Failure"
"L47596","297.4","308.5","1495","37.8","211","No Failure"
"L47597","297.4","308.4","1394","50.1","213","No Failure"
"L47598","297.4","308.4","2151","17.7","0","No Failure"
"M15279","297.3","308.3","1501","38.2","2","No Failure"
"M15280","297.3","308.3","1301","39.6","5","No Failure"
"M15281","297.3","308.3","1657","31.1","8","No Failure"
"L47602","297.3","308.3","1333","55.2","11","No Failure"
"L47603","297.3","308.3","1484","43.9","13","No Failure"
"L47604","297.3","308.4","1430","45.7","15","No Failure"
"M15285","297.3","308.4","1665","28.9","17","No Failure"
"L47606","297.4","308.5","1501","44.9","20","No Failure"
"M15287","297.5","308.5","1496","42.2","22","No Failure"
"M15288","297.6","308.6","1595","36.9","25","No Failure"
"L47609","297.5","308.6","1208","62.3","28","No Failure"
"L47610","297.5","308.6","1596","37.1","30","No Failure"
"L47611","297.5","308.5","1446","41.9","32","No Failure"
"M15292","297.6","308.5","1466","39.7","34","No Failure"
"M15293","297.6","308.5","1848","23.7","37","No Failure"
"M15294","297.5","308.5","1484","44.7","40","No Failure"
"L47615","297.4","308.3","1493","41.2","43","No Failure"
"L47616","297.3","308.3","1504","36.3","45","No Failure"
"L47617","297.3","308.3","1538","38.5","47","No Failure"
"L47618","297.4","308.4","1341","52.2","49","No Failure"
"M15299","297.4","308.3","1535","34.6","51","No Failure"
"L47620","297.4","308.5","1389","39.2","54","No Failure"
"H29855","297.5","308.5","1393","46.6","56","No Failure"
"L47622","297.4","308.5","1399","61.5","61","Power Failure"
"H29857","297.4","308.5","1469","45.1","63","No Failure"
"L47624","297.4","308.4","1582","37.2","68","No Failure"
"L47625","297.5","308.6","1793","26.7","70","No Failure"
"L47626","297.5","308.6","1452","39.0","72","No Failure"
"M15307","297.6","308.7","1376","59.9","74","No Failure"
"L47628","297.5","308.6","1552","44.9","77","No Failure"
"L47629","297.6","308.7","1622","37.9","79","No Failure"
"M15310","297.6","308.7","1419","41.7","81","No Failure"
"H29865","297.5","308.6","1440","46.1","84","No Failure"
"M15312","297.4","308.6","1643","31.0","89","No Failure"
"L47633","297.4","308.7","1510","36.2","92","No Failure"
"L47634","297.4","308.7","1468","46.6","94","No Failure"
"L47635","297.4","308.7","1429","57.4","96","No Failure"
"H29870","297.3","308.7","1478","47.6","98","No Failure"
"L47637","297.4","308.6","1276","53.6","103","No Failure"
"L47638","297.3","308.6","1486","42.6","105","No Failure"
"L47639","297.4","308.6","1476","42.3","107","No Failure"
"H29874","297.3","308.6","1431","42.0","109","No Failure"
"L47641","297.4","308.7","1402","40.2","114","No Failure"
"L47642","297.4","308.7","1433","43.4","116","No Failure"
"L47643","297.4","308.7","2874","4.2","118","Power Failure"
"L47644","297.3","308.6","1511","35.7","120","No Failure"
"M15325","297.3","308.6","1456","42.9","122","No Failure"
"L47646","297.2","308.5","1550","41.5","125","No Failure"
"L47647","297.2","308.5","2182","16.5","127","No Failure"
"L47648","297.3","308.7","1619","31.6","129","No Failure"
"M15329","297.3","308.8","1586","32.7","131","No Failure"
"H29884","297.3","308.8","1499","44.2","134","No Failure"
"H29885","297.3","308.8","1419","42.4","139","No Failure"
"M15332","297.4","309.0","1497","41.8","144","No Failure"
"M15333","297.4","309.0","1520","37.0","147","No Failure"
"L47654","297.4","309.1","1478","49.8","150","No Failure"
"L47655","297.4","309.1","1380","41.1","152","No Failure"
"L47656","297.4","309.0","1570","37.9","154","No Failure"
"H29891","297.4","309.0","1468","41.4","156","No Failure"
"L47658","297.4","309.0","1833","22.6","161","No Failure"
"M15339","297.4","308.9","1323","57.3","163","No Failure"
"L47660","297.4","309.0","1583","32.0","166","No Failure"
"M15341","297.3","309.0","1556","39.5","168","No Failure"
"L47662","297.3","309.0","1548","37.4","171","No Failure"
"L47663","297.4","309.0","1324","56.9","173","No Failure"
"L47664","297.4","309.0","1568","33.7","175","No Failure"
"M15345","297.4","309.0","1685","30.7","177","No Failure"
"M15346","297.4","309.1","1582","35.9","180","No Failure"
"M15347","297.4","309.1","1463","35.0","183","No Failure"
"L47668","297.4","309.2","1584","42.8","186","No Failure"
"M15349","297.5","309.2","1347","55.8","188","No Failure"
"L47670","297.4","309.2","1459","37.9","191","No Failure"
"L47671","297.4","309.2","1420","45.6","193","No Failure"
"L47672","297.5","309.3","1404","43.5","195","No Failure"
"L47673","297.5","309.3","1470","38.8","197","No Failure"
